A/C Type,MALW [kg],IWTC
SF50,2517,Light
FA6X,30028,Medium
DA62,2300,Light
CRJX,36968,Medium
M600,2631,Light
L410,6800,Light
AN26,24000,Medium
R90R,1350,Light
SF25,650,Light
BE4W,7121,Medium
GA7C,37875,Medium
SLG2,700,Light
EC45,3585,Light
BR23,750,Light
B505,2070,Light
VTOR,2850,Light
F100,39915,Medium
A139,6400,Light
C27J,27500,Medium
C10T,1724,Light
M700,2630,Light
R44,1088,Light
DA50,1999,Light
E390,74400,Medium
GLAS,1089,Light
EC35,2835,Light
T206,1633,Light
H46,11022,Medium
H47,24494,Medium
G2CA,700,Light
K100,3035,Light
TWEN,1157,Light